Designator,Mid X,Mid Y,Rotation,Layer
C1,163.42,-125.4,90.0,top
J1,197.221,-106.083573,0.0,top
J2,197.411,-86.793572,180.0,bottom
J3,197.221,-106.083573,180.0,bottom
J4,131.137369,-131.570634,90.0,top
J5,131.523797,-140.291635,0.0,top
R1,192.11,-91.41,270.0,top
R2,190.12,-91.42,270.0,top
R3,188.01,-91.41,270.0,top
SW1,116.29,-67.3775,0.0,top
SW10,192.49,-81.665,0.0,top
SW11,116.29,-105.4775,0.0,top
SW12,135.34,-100.715,0.0,top
SW13,154.39,-95.9525,0.0,top
SW14,173.44,-100.715,0.0,top
SW15,192.49,-100.715,0.0,top
SW16,152.0088,-124.5275,0.0,top
SW17,182.965,-124.5275,0.0,top
SW18,117.367369,-131.600635,0.0,bottom
SW19,124.113797,-131.751634,0.0,bottom
SW2,135.34,-62.615,0.0,top
SW3,154.39,-57.8525,0.0,top
SW4,173.44,-62.615,0.0,top
SW5,192.49,-62.615,0.0,top
SW6,116.29,-86.4275,0.0,top
SW7,135.34,-81.665,0.0,top
SW8,154.39,-76.9025,0.0,top
SW9,173.44,-81.665,0.0,top
U1,168.29,-120.615,180.0,top
